statement	answer	points
Quel procédé permet de séparer les composés d'un mélange en exploitant la force centrifuge ?	La centrifugation	1
Quelle est la passion d'un ferrovipathe ?	Le monde ferroviaire et les trains	1
Quel compositeur de musique de film, associé de Hans Zimmer, est connu pour la bande originale des séries Westworld et Game of Thrones ?	Ramin Djawadi	1
Qu'est-ce qu'une apoplexie ?	Congestion cérébrale, perte de connaissance	1
Quel présentateur télé connu pour avori sauvé des prisonniers du feu par jetski a présenté le Big Deal ?	Vincent Lagaf'	1
Combien mesure Mimie Mathy ?	1m32	1
Quelle figure de style est utilisée dans le célèbre vers de Jean Racine dans la tragédie Andromaque : "Pour qui sont ces serpents qui sifflent sur vos têtes ?" ?	Allitération	1
Dans les mondes littéraires et cinématographique, à quel dramaturge russe associe-t-on la loi de conservation des détails souvent lié à un fusil ?	Anton Tchekov	1
Avec quoi la Terre est-elle distancée d'environ 380000km ?	La Lune	1
Quel nom est donné au lieu le plus profond sur Terre ?	Fosse des Mariannes	1
Quelle préparation culinaire répandue au Proche-Orient est composée d'un mélange de pois chiches et d'épices frit ?	Falafel	1
à quel humoriste québécois doit-on la série de courts audios parodiques Les Deux minutes du peuple ?	François Pérusse	1
Quel langage de programmation impératif né en 1970 partageant des points communs avec le C porte le même nom qu'une unité de pression ?	Pascal	1
Quel duo d'ingénieurs ont réalisé en 1895 la première projection cinématographique ?	Les frères Lumière	1
Sur laquelle de ses huiles sur toile du 19ème siècle, le peintre français Théodore Géricault dissimule-t-il la totalité des pieds dans une scène de naufrage, ne sachant pas les dessiner ?	Le Radeau de la Méduse	1
À quel peintre surréaliste doit-on La Persistance de la mémoire plus connue sous le nom des Montres molles ?	Salvador Dali	1
En 1964, de quelle chanson s'inspire Johnny Hallyday pour interpréter Les Portes du pénitencier ?	The house of the rising sun	1
Dans la baie de San Fransisco, quelle île surnommée The Rock tient son nom des pélicans en espagnol habite une prison du même nom ?	Alcatraz	1
Quelle lettre de l'alphabet latin associée à une inconnue se pornonce également kha dans l'alphabet cyrillique ?	X	1
Quel nuage pouvant s'élever jusqu'à 15km d'altitude est caractéristique des phénomènes orageux ?	Le cumulonimbus	1
Quel vidéaste nommé Xavier Dang est d'abord musicien avant de devenir streamer et chante en duo Manhattan Kaboul avec Zerator ?	MisterMV	1
Avec le poil de quel animal fait-on du cachemire ?	La chèvre	1
Épelez le mot Kouign amann	KOUIGN AMANN	1
Quelle école d'informatique fondée en 1960 à Grenoble organise tous les ans l'événement de cybersécurité GreHack ?	ENSIMAG	1
Que signifie l'adjectif méliphage ?	Mange ou est attiré par le miel	1
Quelle langue fictive est construite par Louis-Lazare Zamenhof  dans le but de devenir une langue internationale ?	L'esperanto	1
Comment se nomme le premier être vivant à aller dans l'Espace ?	Laïka	1
Quel logiciel de bureautique créé en 1992 par Microsoft et faisant partie de la suite Microsoft Office sert de base de données ?	Microsoft Access	1
Quel appareil électroménager apparu au début des années 1900 est également un personnage emblématique des Teletubbies ?	Un aspirateur	1