topic	statement	answer	points
Bon appétit bien sûr	De qui le gloubi-boulga est-il le plat préféré ?	Casimir	1
Bon appétit bien sûr	La banane est un fruit. Vrai ou faux ?	Faux	1
Bon appétit bien sûr	Combien de trous possède un biscuit Petit Lu ?	24 pour les 24h de la journée	1
Bon appétit bien sûr	Quel plat est servi à Anton Ego dans le film Disney du même nom ?	De la ratatouille	1
Bon appétit bien sûr	Dans quel pays consomme-t-on 26.3kg de fromage par an et par habitant en moyenne ?	La France	1
Bon appétit bien sûr	Quel est le record du nombre de hot dog mangé en 10 minutes ?	69	1
Bon appétit bien sûr	Quelle ville française est réputée pour ses nougats ?	Montélimar	1
Bon appétit bien sûr	Quelle échelle permet de mesurer la force des piments ?	Scoville	1
Bon appétit bien sûr	De quel animal emblématique Maïté lui "suce-t-il le derrière" ?	L'ortolan	1
Bon appétit bien sûr	Où ont été inventés les sushis au saumon ?	En Norvège	1
Bon appétit bien sûr	Quelle est la nationalité du champion du monde de pâté croûte en 2017 ?	Japonaise	1
Bon appétit bien sûr	Où a été inventée la pizza hawaïenne ?	Au Canada	1
Bon appétit bien sûr	Qui est l'homologue de Philippe Etchebest dans la version anglaise de Cauchemar en cuisine	Gordon Ramsay	1
Bon appétit bien sûr	À quel parfum sont les sucettes d'Annie dans la chanson de France Gall ?	À l'anis	1
Bon appétit bien sûr	En quelle année a ouvert le premier McDo ?	1955	1
Bon appétit bien sûr	Qu’est-ce que le Pumpernickel ?	Du pain de seigle	1
Bon appétit bien sûr	Quelle est l'arbre donnant des coings ?	Le cognassier	1
Bon appétit bien sûr	À quel ingrédient doit-on la couleur de la soupe russe le bortsch ?	Betterave	1
Bon appétit bien sûr	Qu’est-ce que le koulitch ?	Une brioche de Pâques	1
Bon appétit bien sûr	Combien de temps faut-il pour cuire un œuf mollet ?	6 minutes	1
Thème 2 en fait	En quelle année a ouvert le premier McDo ?	1955	1
Thème 2 en fait	Qu’est-ce que le Pumpernickel ?	Du pain de seigle	1
Thème 2 en fait	Quelle est l'arbre donnant des coings ?	Le cognassier	1
Thème 2 en fait	À quel ingrédient doit-on la couleur de la soupe russe le bortsch ?	Betterave	1
Thème 2 en fait	Qu’est-ce que le koulitch ?	Une brioche de Pâques	1
Thème 2 en fait	Combien de temps faut-il pour cuire un œuf mollet ?	6 minutes	1